Error: Line: 12, Position 10: "The required attribute 'ref' is missing." 

Error: Line: 18, Position 10: "The required attribute 'ref' is missing." 

Error: Line: 24, Position 10: "The required attribute 'ref' is missing." 

Error: Line: 30, Position 10: "The required attribute 'ref' is missing." 

Error: Line: 132, Position 10: "The required attribute 'ref' is missing." 

Error: Line: 149, Position 10: "The required attribute 'ref' is missing." 

Error: Line: 166, Position 10: "The required attribute 'ref' is missing." 

Error: Line: 183, Position 10: "The required attribute 'ref' is missing." 

Error: Line: 10078, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10089, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10100, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10111, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10122, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10133, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10144, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10155, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10166, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10177, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10188, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10199, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10210, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10221, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10232, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10243, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10254, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10265, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10276, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10287, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10298, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10309, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10320, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10331, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10342, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10353, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10364, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10375, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10386, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10397, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10408, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10419, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10430, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10441, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10452, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10463, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10474, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10485, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10496, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10507, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10518, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

